abbor,/ɑ b ɔ ɾ/
oppriktigst,/ɔ p ˈ ɾ ɪ k t ɪ k s t/
oppriktigste,/ɔ p ˈ ɾ ɪ k t ɪ k s t ə/
opprinnelig,/ɔ p ˈ ɾ ɪ n ə l ɪ/
opprinnelige,/ɔ p ˈ ɾ ɪ n ə l ɪə/
opprinneligere,/ɔ p ˈ ɾ ɪ n ə l ɪ ɾ ə/
opprinneligst,/ɔ p ˈ ɾ ɪ n ə l ɪ k s t/
opprinneligste,/ɔ p ˈ ɾ ɪ n ə l ɪ k s t ə/
opprøre,/ˈ ɔ p ɾ ø ː ɾ ə/
oppsummere,/ˈ ɔ p s ʉ m e ː ɾ ə/
oppsvulmet,/ˈ ɔ p s ʋ ʉ l m ə t/
oppta,/ˈ ɔ p t ɑː/
opptatt,/ˈ ɔ p t ɑ t/
opptre,/ˈ ɔ p t ɾ e ː/
oppvakt,/ˈ ɔ p ʋ ɑ k t/
oppvarte,/ˈ ɔ p ʋ ɑ ʈ ə/
oppvaskbørste,/ɔ p ʋ ɑ s k b œ ʂ t ə/
oppvaskklut,/ɔ p ʋ ɑ s k l ʉ t/
oppvaskkum,/ɔ p ʋ ɑ s k ʊ m/
oppvaskmiddel,/ɔ p ʋ ɑ s k m ɪ d ə l/
optiker,/ˈ ɔ p t ɪ k ə ɾ/
optimal,/ɔ p t ɪ ˈ m ɑː l/
optimistisk,/ɔ p t ɪ ˈ m ɪ s t ɪ s k/
optisk,/ˈ ɔ p t ɪ s k/
orange,/ɔ ˈ ɾ ɑ ŋ ʂ ə/
oransje,/ʊ ˈ ɾ ɑ n ʂ/
ord,/uː ɾ/
ordbok,/ˈ uː ɾ b uː k/
orden,/ˈ ɔ ɖ n̩/
ordenen,/ˈ ɔ ɖ n̩/
ordener,/ˈ ɔ ɖ n ə ɾ/
ordentlig,/ˈ ɔ ɳ t l ɪ/
ordentlige,/ˈ ɔ ɳ t l ɪə/
ordentligere,/ˈ ɔ ɳ t l ɪ ɾ ə/
ordentligst,/ˈ ɔ ɳ t l ɪ k s t/
ordentligste,/ˈ ɔ ɳ t l ɪ k s t ə/
ordinær,/ɔ ɖ ɪ ˈ n æ ː ɾ/
ordklasse,/ˈ uː ɾ k l ɑ s ə/
ordlegge,/ˈ uː ɭ æɪ ə/
ordne,"/ˈ ɔ ɖ n ə/, /ˈ o ː ɳ ə/"
ordre,/ˈ ɔ ɖ ɾ ə/
organisere,/ɔ ɾ g ɑ n ɪ ˈ s e ː ɾ ə/
organisk,/ɔ ɾ ˈ g ɑː n ɪ s k/
orgel,/ˈ ɔ ɾ g ə l/
orientere,/ɔ ɾ ɪə n ˈ t e ː ɾ ə/
original,/ɔ ɾ ɪ g ɪ ˈ n ɑː l/
originalversjon,/ɔ ɾ ɪ g ɪ ˈ n ɑː l ʋ ɛ ʂ uː n/
orke,/ˈ ɔ ɾ k ə/
orkester,/ɔ ɾ ˈ k ɛ s t ə ɾ/
orm,/ɔ ɾ m/
ortodoks,/ɔ ʈ ʊ ˈ d ɔ k s/
ose,/ˈ uː s ə/
Oslo,/ˈ ʊ ʂ ɭ u/
oss,/ɔ s/
ost,/ʊ s t/
oval,/ʊ ˈ ʋ ɑː l/
over,/ˈ o ː ʋ ə ɾ/
overalt,/o ː ʋ ə ˈ ɾ ɑ l t/
overanstrenge,/ˈ o ː ʋ ə ɾ ɑ n s t ɾ ɛ ŋ ə/
overbevise,/ˈ o ː ʋ ə ɾ b ə ʋ iː s ə/
overbærende,/ˈ o ː ʋ ə ɾ b æ ː ɾ ə n ə/
overdrive,/ˈ o ː ʋ ə ɖ ɾ iː ʋ ə/
overdøve,/ˈ o ː ʋ ə ɖ ø ː ʋ ə/
overdådig,/ˈ o ː ʋ ə ɖ o ː d ɪ/
overdådige,/ˈ o ː ʋ ə ɖ o ː d ɪə/
overdådigere,/ˈ o ː ʋ ə ɖ o ː d ɪ ɾ ə/
overdådigst,/ˈ o ː ʋ ə ɖ o ː d ɪ k s t/
overdådigste,/ˈ o ː ʋ ə ɖ o ː d ɪ k s t ə/
overfall,/o ː ʋ ə ɾ f ɑ l/
overfalle,/ˈ o ː ʋ ə ɾ f ɑ l ə/
overfladisk,/ˈ o ː ʋ ə ɾ f l ɑː d ɪ s k/
overfor,/ˈ o ː ʋ ə ɾ f ɔ ɾ/
overfore,/ˈ o ː ʋ ə ɾ f ø ː ɾ ə/
overføre,/ˈ o ː ʋ ə ɾ f ø ː ɾ ə/
overføring,/ˈ o ː ʋ ə ɾ f ø ː ɾ ɪ ŋ/
overført,/ˈ o ː ʋ ə ɾ f ø ː ʈ/
overgang,/ˈ o ː ʋ ə ɾ g ɑ ŋ/
overgrep,/ˈ o ː ʋ ə ɾ g ɾ e ː p/
overgå,/ˈ o ː ʋ ə ɾ g o ː/
overholde,/ˈ o ː ʋ ə ɾ h ɔ l ə/
overhøre,/ˈ o ː ʋ ə ɾ h ø ː ɾ ə/
overkjøre,/ˈ o ː ʋ ə ɾ ç ø ː ɾ ə/
overkommelig,/ɔ ʋ ə ɾ ˈ k ɔ m ə l ɪ/
overkommelige,/ɔ ʋ ə ɾ ˈ k ɔ m ə l ɪə/
overkommeligere,/ɔ ʋ ə ɾ ˈ k ɔ m ə l ɪ ɾ ə/
overkommeligst,/ɔ ʋ ə ɾ ˈ k ɔ m ə l ɪ k s t/
overkommeligste,/ɔ ʋ ə ɾ ˈ k ɔ m ə l ɪ k s t ə/
overlappe,/ˈ o ː ʋ ə ɭ ɑ p ə/
overlate,/ˈ o ː ʋ ə ɭ ɑː t ə/
overlegen,/ˈ o ː ʋ ə ɭ e ː g ə n/
overleve,/ˈ o ː ʋ ə ɭ e ː ʋ ə/
overlevere,/ˈ o ː ʋ ə ɭ ə ʋ e ː ɾ ə/
overmanne,/ˈ o ː ʋ ə ɾ m ɑ n ə/
overnatte,/ˈ o ː ʋ ə ɳ ɑ t ə/
overnatting,/ˈ o ː ʋ ə ɳ ɑ t ɪ ŋ/
overnattingssted,"/o ː ʋ ə ɳ ɑ t ɪ ŋ s t e/, /o ː ʋ ə ɳ ɑ t ɪ ŋ s t ɛ d/"
overnaturlig,/ˈ o ː ʋ ə ɳ ɑ t ʉ ː ɭ ɪ/
overnaturlige,/ˈ o ː ʋ ə ɳ ɑ t ʉ ː ɭ ɪə/
overnaturligere,/ˈ o ː ʋ ə ɳ ɑ t ʉ ː ɭ ɪ ɾ ə/
overnaturligst,/ˈ o ː ʋ ə ɳ ɑ t ʉ ː ɭ ɪ k s t/
overnaturligste,/ˈ o ː ʋ ə ɳ ɑ t ʉ ː ɭ ɪ k s t ə/
overraske,/ˈ o ː ʋ ə ɾ ɑ s k ə/
overrasket,/o ː ʋ ə ɾ ɑ s k ə t/
overrekke,/ɔ ʋ ə ˈ ɾ ɛ k ə/
overrumple,/ɔ ʋ ə ˈ ɾ ʊ m p l ə/
overse,/ˈ o ː ʋ ə ʂ e ː/
oversette,/ˈ o ː ʋ ə ʂ ɛ t ə/
oversettelse,/ˈ o ː ʋ ə ʂ ɛ t ə l s ə/
oversiktlig,/ˈ o ː ʋ ə ʂ ɪ k t l ɪ/
oversiktlige,/ˈ o ː ʋ ə ʂ ɪ k t l ɪə/
oversiktligere,/ˈ o ː ʋ ə ʂ ɪ k t l ɪ ɾ ə/
oversiktligst,/ˈ o ː ʋ ə ʂ ɪ k t l ɪ k s t/
oversiktligste,/ˈ o ː ʋ ə ʂ ɪ k t l ɪ k s t ə/
overskride,/ˈ o ː ʋ ə ʂ k ɾ iː d ə/
overskrift,/ˈ o ː ʋ ə ʂ k ɾ ɪ f t/
overskuelig,/ˈ o ː ʋ ə ʂ k ʉ ː ə l ɪ/
overskuelige,/ˈ o ː ʋ ə ʂ k ʉ ː ə l ɪə/
overskueligere,/ˈ o ː ʋ ə ʂ k ʉ ː ə l ɪ ɾ ə/
overskueligst,/ˈ o ː ʋ ə ʂ k ʉ ː ə l ɪ k s t/
overskueligste,/ˈ o ː ʋ ə ʂ k ʉ ː ə l ɪ k s t ə/
overskyet,/ˈ o ː ʋ ə ʂ y ː ə t/
overstige,/ˈ o ː ʋ ə ʂ t iː g ə/
overta,/ˈ o ː ʋ ə ʈ ɑː/
overtale,/ˈ o ː ʋ ə ʈ ɑː l ə/
overtre,/ˈ o ː ʋ ə ʈ ɾ e ː/
overtroisk,/ˈ o ː ʋ ə ʈ ɾ uː ɪ s k/
overveie,/ˈ o ː ʋ ə ɾ ʋ æɪ ə/
overveiende,/ˈ o ː ʋ ə ɾ ʋ æɪ ə n ə/
overvektig,/ˈ o ː ʋ ə ɾ ʋ ɛ k t ɪ/
overvektige,/ˈ o ː ʋ ə ɾ ʋ ɛ k t ɪə/
overvektigere,/ˈ o ː ʋ ə ɾ ʋ ɛ k t ɪ ɾ ə/
overvektigst,/ˈ o ː ʋ ə ɾ ʋ ɛ k t ɪ k s t/
overvektigste,/ˈ o ː ʋ ə ɾ ʋ ɛ k t ɪ k s t ə/
overvelde,/ˈ o ː ʋ ə ɾ ʋ ɛ l d ə/
overvinne,/ˈ o ː ʋ ə ɾ ʋ ɪ n ə/
overvurdere,/ˈ o ː ʋ ə ɾ ʋ ʉ ɖ e ː ɾ ə/
overvære,/ˈ o ː ʋ ə ɾ ʋ æ ː ɾ ə/
overvåke,/ˈ o ː ʋ ə ɾ ʋ o ː k ə/
overøse,/ˈ o ː ʋ ə ɾ ø ː s ə/
p-pille,/ˈ p e ː p ɪ l ə/
pacemaker,/ˈ p æɪ s m æɪ k ə ɾ/
padde,/ˈ p ɑ d ə/
paddle,/p ɑ d l ə/
padle,/ˈ p ɑ d l ə/
paff,/p ɑ f/
pai,/p æɪ/
pakistansk,/p ɑ k ɪ ˈ s t ɑː n s k/
pakke,/ˈ p ɑ k ə/
pakke inn,/p ɑ k ə ˈ ɪ n/
palass,/p ɑ ˈ l ɑ s/
pale,/ˈ p o ː l ə/
palme,/ˈ p ɑ l m ə/
pannekake,/ˈ p ɑ n ə k ɑː k ə/
pannelugg,/p ɑ n ə l ʉ g/
pannerett,/p ɑ n ə ɾ ɛ t/
panser,/ˈ p ɑ n s ə ɾ/
pant,/p ɑ n t/
pante,/ˈ p ɑ n t ə/
pantsette,/ˈ p ɑ n t s ɛ t ə/
papir,/p ɑ ˈ p iː ɾ/
papirhandel,/p ɑ ˈ p iː ɾ h ɑ n ə l/
pappa,/ˈ p ɑ p ɑ/
paprika,/ˈ p ɑː p ɾ ɪ k ɑ/
par,/p ɑː ɾ/
parade,/p ɑ ˈ ɾ ɑː d ə/
paradere,/p ɑ ɾ ɑ ˈ d e ː ɾ ə/
paradoksal,/p ɑ ɾ ɑ d ɔ k ˈ s ɑː l/
parallell,/p ɑ ɾ ɑ ˈ l ɛ l/
parallellitet,/p ɑ ɾ ɑ l ɛ l ɪ ˈ t e ː t/
paralysere,/p ɑ ɾ ɑ l ʏ ˈ s e ː ɾ ə/
paraply,/p ɑ ɾ ɑ ˈ p l y ː/
parat,/p ɑ ˈ ɾ ɑː t/
pare,/ˈ p ɑː ɾ ə/
parere,/p ɑ ˈ ɾ e ː ɾ ə/
parfyme,/p ɑ ɾ f y ː m ə/
parfymeri,/p ɑ ɾ f ʏ m ə ˈ ɾ iː/
park,/p ɑ ɾ k/
parkere,/p ɑ ɾ ˈ k e ː ɾ ə/
parkeringslys,/p ɑ ɾ ˈ k e ː ɾ ɪ ŋ s l y ː s/
parkeringsplass,/p ɑ ɾ ˈ k e ː ɾ ɪ ŋ s p l ɑ s/
parkeringsplass for funksjonshemmede,/p ɑ ɾ ˈ k e ː ɾ ɪ ŋ s p l ɑ s   f ɔ ɾ   f ʉ ŋ k ˈ ʂ uː n s h ɛ m ə d ə/
parkett,/p ɑ ɾ ˈ k ɛ t/
parkometer,/p ɑ ɾ k ʊ ˈ m e ː t ə ɾ/
parodiere,/p ɑ ɾ ʊ d ɪ ˈ e ː ɾ ə/
partere,/p ɑ ˈ ʈ e ː ɾ ə/
partisk,/ˈ p ɑː ʈ ɪ s k/
parykk,/p ɑ ˈ ɾ ʏ k/
pasient,/p ɑ s ɪ ˈ ɛ n t/
pass,/p ɑ s/
passasjer,/p ɑ s ɑ ˈ ʂ e ː ɾ/
passe,/ˈ p ɑ s ə/
passé,/p ɑ ˈ s e ː/
passe på,/p ɑ s ə p o ː/
passelig,/ˈ p ɑ s ə l ɪ/
passelige,/ˈ p ɑ s ə l ɪə/
passeligere,/ˈ p ɑ s ə l ɪ ɾ ə/
passeligst,/ˈ p ɑ s ə l ɪ k s t/
passeligste,/ˈ p ɑ s ə l ɪ k s t ə/
passende,/p ɑ s ə n ə/
passere,/p ɑ ˈ s e ː ɾ ə/
passiv,/ˈ p ɑ s ɪ ʋ/
passkontroll,/ˈ p ɑ s k ʊ n t ɾ ɔ l/
patent,/p ɑ ˈ t ɛ n t/
patetisk,/p ɑ ˈ t e ː t ɪ s k/
patruljere,/p ɑ t ɾ ʉ l ˈ j e ː ɾ ə/
patte,/ˈ p ɑ t ə/
pause,/p æʉ s ə/
pedagogisk,/p ə d ɑ ˈ g uː g ɪ s k/
pedantisk,/p ə ˈ d ɑ n t ɪ s k/
peke,/ˈ p e ː k ə/
pen,/p e ː n/
pendle,/ˈ p ɛ n l ə/
pengeanvisning,/p ɛ ŋ ə ɑ n ʋ iː s n ɪ ŋ/
pengepung,/p ɛ ŋ ə p ʊ ŋ/
penger,/p ɛ ŋ ə ɾ/
pengeseddel,/p ɛ ŋ ə s ɛ d ə l/
penn,/p ɛ n/
pensjonat,/p ɑ ŋ ʂ ʊ ˈ n ɑː t/
pensle,/ˈ p ɛ n s l ə/
pepper,/ˈ p ɛ p ə ɾ/
pepre,/ˈ p ɛ p ɾ ə/
Per,/p e ː ɾ/
perfekt,/p æ ɾ ˈ f ɛ k t/
perle,/ˈ p æ ː ɭ ə/
permanent,/p æ ɾ m ɑ ˈ n ɛ n t/
permittere,/p æ ɾ m ɪ ˈ t e ː ɾ ə/
perpleks,/p æ ɾ ˈ p l ɛ k s/
perrong,/p ɛ ɾ ɔ ŋ/
persille,/p ɛ ʂ ɪ l ə/
persisk,/ˈ p æ ʂ ɪ s k/
person,/p æ ˈ ʂ uː n/
personalia,/p ɛ ʂ ɔ ˈ n ɑ l ɪ ɑ/
personlig,/p æ ˈ ʂ uː n l ɪ/
personlige,/p æ ˈ ʂ uː n l ɪə/
personligere,/p æ ˈ ʂ uː n l ɪ ɾ ə/
personligst,/p æ ˈ ʂ uː n l ɪ k s t/
personligste,/p æ ˈ ʂ uː n l ɪ k s t ə/
pertentlig,/p æ ˈ ʈ ɛ n t l ɪ/
pertentlige,/p æ ˈ ʈ ɛ n t l ɪə/
pertentligere,/p æ ˈ ʈ ɛ n t l ɪ ɾ ə/
pertentligst,/p æ ˈ ʈ ɛ n t l ɪ k s t/
pertentligste,/p æ ˈ ʈ ɛ n t l ɪ k s t ə/
pervers,/p æ ɾ ˈ ʋ æ ʂ/
pese,/ˈ p e ː s ə/
pessimistisk,/p ə s ɪ ˈ m ɪ s t ɪ s k/
pianist,/p ɪ ɑ ˈ n ɪ s t/
piano,/p ɪ ˈ j ɑː n u/
piffe,/ˈ p ɪ f ə/
pigg,/p ɪ g/
pikant,/p ɪ ˈ k ɑ n t/
pil,/p iː l/
pile,/ˈ p iː l ə/
pille,/ˈ p ɪ l ə/
pine,/ˈ p iː n ə/
pinlig,/ˈ p iː n l ɪ/
pinlige,/ˈ p iː n l ɪə/
pinligere,/ˈ p iː n l ɪ ɾ ə/
pinligst,/ˈ p iː n l ɪ k s t/
pinligste,/ˈ p iː n l ɪ k s t ə/
pinne,/ˈ p ɪ n ə/
pinse,/ˈ p ɪ n s ə/
pinsett,/p ɪ n ˈ s ɛ t/
pipe,/ˈ p iː p ə/
piple,/ˈ p ɪ p l ə/
pirke,/ˈ p ɪ ɾ k ə/
pirre,/ˈ p ɪ ɾ ə/
piske,/ˈ p ɪ s k ə/
pissoar,/p ɪ s ʊ ɑː ɾ/
pjokk,/p ç ɔ k/
pjusk,/p j ʉ s k/
plage,/ˈ p l ɑː g ə/
plagiere,/p l ɑ g ɪ ˈ e ː ɾ ə/
plagsom,/ˈ p l ɑː k s ɔ m/
plakat,/p l ɑ ˈ k ɑː t/
plan,/p l ɑː n/
planke,/ˈ p l ɑ ŋ k ə/
planlegge,/ˈ p l ɑː n l æɪ ə/
planlegging,/ˈ p l ɑː n l æ j ɪ ŋ/
plante,/ˈ p l ɑ n t ə/
plaske,/ˈ p l ɑ s k ə/
plass,/p l ɑ s/
plassbillett,/ˈ p l ɑ s b ɪ l ɛ t/
plassere,/p l ɑ ˈ s e ː ɾ ə/
plast,/p l ɑ s t/
plaster,/ˈ p l ɑ s t ə ɾ/
plastfolie,/ˈ p l ɑ s t f uː l ɪə/
plastisk,/ˈ p l ɑ s t ɪ s k/
plastpose,/ˈ p l ɑ s t p uː s ə/
plate,/ˈ p l ɑː t ə/
platt,/p l ɑ t/
plattfot,/ˈ p l ɑ t f uː t/
plausibel,/p l æʉ ˈ s iː b ə l/
pleie,/ˈ p l æɪ ə/
pleietrengende,/p l æɪ ə t ɾ ɛ ŋ ə n ə/
plen,/p l e ː n/
plikt,/p l ɪ k t/
pliktig,/ˈ p l ɪ k t ɪ/
pliktige,/ˈ p l ɪ k t ɪə/
pliktigere,/ˈ p l ɪ k t ɪ ɾ ə/
pliktigst,/ˈ p l ɪ k t ɪ k s t/
pliktigste,/ˈ p l ɪ k t ɪ k s t ə/
plomme,/p l ʊ m ə/
pludre,/ˈ p l ʉ d ɾ ə/
plukke,/ˈ p l ʊ k ə/
plump,/p l ʊ m p/
plumpe,/ˈ p l ʊ m p ə/
plutselig,/ˈ p l ʉ t s ə l ɪ/
plutselige,/ˈ p l ʉ t s ə l ɪə/
plutseligere,/ˈ p l ʉ t s ə l ɪ ɾ ə/
plutseligst,/ˈ p l ʉ t s ə l ɪ k s t/
plutseligste,/ˈ p l ʉ t s ə l ɪ k s t ə/
plyndre,/ˈ p l ʏ n d ɾ ə/
plystre,/ˈ p l ʏ s t ɾ ə/
pløsete,/ˈ p l ø ː s ə t ə/
pløye,/ˈ p l œ j ə/
pneumatisk,/p n æ w ˈ m ɑː t ɪ s k/
poeng,/p ɔ ˈ ɛ ŋ/
poengtere,/p ɔ ə ŋ ˈ t e ː ɾ ə/
poet,/p ʊ ˈ e ː t/
polar,/p ʊ ˈ l ɑː ɾ/
polere,/p ʊ ˈ l e ː ɾ ə/
poliomyelitt,/p ʊ l ɪ ʊ m ʏ ə ˈ l ɪ t/
politi,/p ʊ l ɪ ˈ t iː/
politibil,/p ʊ l ɪ ˈ t iː b iː l/
politiker,/p ʊ ˈ l iː t ɪ k ə ɾ/
politikk,/p ʊ l ɪ ˈ t ɪ k/
politimann,/p ʊ l ɪ ˈ t iː m ɑ n/
politisk,/p ʊ ˈ l iː t ɪ s k/
pollen,/p ɔ l n/
polsk,/p uː l s k/
pompøs,/p ʊ m ˈ p ø ː s/
pop,/p ɔ p/
poppel,/ˈ p ɔ p ə l/
populær,/p ʊ p ʉ ˈ l æ ː ɾ/
porselen,/p ʊ ʂ ə ˈ l e ː n/
porsjon,/p ʊ ˈ ʂ uː n/
porsjonere,/p ʊ ʂ ʊ ˈ n e ː ɾ ə/
port,/p ʊ ʈ/
portal,/p ʊ ˈ ʈ ɑː l/
portier,/p ʊ ʈ ɪ ˈ e ː ɾ/
porto,/ˈ p ʊ ʈ u/
portrett,/p ʊ ˈ ʈ ɾ ɛ t/
portugisisk,/p ʊ ʈ ʉ ˈ g iː s ɪ s k/
porøs,/p ʊ ˈ ɾ ø ː s/
pose,/ˈ p uː s ə/
posere,/p ʊ ˈ s e ː ɾ ə/
positiv,/ˈ p uː s ɪ t iː ʋ/
poste,/ˈ p ɔ s t ə/
poste restante,/p ɔ s t ə ɾ ɛ s t ɑ n t ə/
postkasse,/ˈ p ɔ s t k ɑ s ə/
postkontor,/ˈ p ɔ s t k ʊ n t uː ɾ/
postkort,/ˈ p ɔ s t k ɔ ʈ/
postlegge,/ˈ p ɔ s t l æɪ ə/
postnummer,/ˈ p ɔ s t n ʊ m ə ɾ/
postsparebankbok,/ˈ p ɔ s t s p ɑː ɾ ə b ɑ ŋ k b uː k/
potensial,/p ʊ t ə n s ɪ ˈ ɑː l/
potensiell,/p ʊ t ə n s ɪ ˈ ɛ l/
potet,/p ʊ ˈ t e ː t/
potte,/ˈ p ɔ t ə/
pragmatisk,/p ɾ ɑ g ˈ m ɑː t ɪ s k/
praktfull,/ˈ p ɾ ɑ k t f ʉ l/
praktisere,/p ɾ ɑ k t ɪ ˈ s e ː ɾ ə/
praktisk,/ˈ p ɾ ɑ k t ɪ s k/
prange,/ˈ p ɾ ɑ ŋ ə/
prate,/ˈ p ɾ ɑː t ə/
pratsom,/ˈ p ɾ ɑː t s ɔ m/
prege,/ˈ p ɾ e ː g ə/
preke,/ˈ p ɾ e ː k ə/
prektig,/ˈ p ɾ ɛ k t ɪ/
prektige,/ˈ p ɾ ɛ k t ɪə/
prektigere,/ˈ p ɾ ɛ k t ɪ ɾ ə/
prektigst,/ˈ p ɾ ɛ k t ɪ k s t/
prektigste,/ˈ p ɾ ɛ k t ɪ k s t ə/
prekær,/p ɾ ə ˈ k æ ː ɾ/
prelle,/ˈ p ɾ ɛ l ə/
premie,/ˈ p ɾ e ː m ɪə/
premiere,/p ɾ ə m ɪ ˈ æ ː ɾ ə/
preposisjon,/p ɾ ə p ʊ s ɪ ˈ ʂ uː n/
presang,/p ɾ ə ˈ s ɑ ŋ/
presentabel,/p ɾ ə s ɑ ŋ ˈ t ɑː b ə l/
presentasjon,/p ɾ ɛ s ɑ ŋ t ɑ ˈ ʂ uː n/
presentere,/p ɾ ə s ɑ ŋ ˈ t e ː ɾ ə/
presentere noen for noen,/p ɾ ɛ s ɑ ŋ ˈ t e ː ɾ ə n uː ə n f ɔ ɳ uː ə n/
presis,/p ɾ ɛ ˈ s iː s/
presisere,/p ɾ ə s ɪ ˈ s e ː ɾ ə/
presse,/ˈ p ɾ ɛ s ə/
presserende,/p ɾ ɛ ˈ s e ː ɾ ə n ə/
prest,/p ɾ ɛ s t/
prestere,/p ɾ ə s ˈ t e ː ɾ ə/
prestisjefylt,/p ɾ ə ˈ s t iː ʂ ə f ʏ l t/
pretensiøs,/p ɾ ə t ɑ ŋ s ɪ ˈ ø ː s/
prevensjon,/p ɾ e ː ʋ ə n ˈ ʂ uː n/
preventiv,/ˈ p ɾ ɛ ʋ ɑ ŋ t iː ʋ/
prikke,/ˈ p ɾ ɪ k ə/
prima,/ˈ p ɾ iː m ɑ/
primitiv,/ˈ p ɾ ɪ m ɪ t iː ʋ/
primær,/p ɾ ɪ ˈ m æ ː ɾ/
prinsipiell,/p ɾ ɪ n s ɪ p ɪ ˈ ɛ l/
printe,/ˈ p ɾ ɪ n t ə/
prioritere,/p ɾ ɪ ʊ ɾ ɪ ˈ t e ː ɾ ə/
prippen,/ˈ p ɾ ɪ p ə n/
pris,/p ɾ iː s/
prise,/ˈ p ɾ iː s ə/
privat,/p ɾ ɪ ˈ ʋ ɑː t/
privatisere,/p ɾ ɪ ʋ ɑ t ɪ ˈ s e ː ɾ ə/
prn jeg,/j æ i/
problem,/p ɾ ʊ ˈ b l e ː m/
problematisk,/p ɾ ʊ b l ə ˈ m ɑː t ɪ s k/
problemer med blodomløpet,/p ɾ ʊ ˈ b l e ː m ə ɾ m e ː b l uː ʊ m l ø ː p ə/
produksjon,/p ɾ ʊ d ʉ k ˈ ʂ uː n/
produkt,/p ɾ ʊ ˈ d ʉ k t/
produktiv,/p ɾ ʊ d ʉ k ˈ t iː ʋ/
produsere,/p ɾ ʊ d ʉ ˈ s e ː ɾ ə/
profesjonell,/p ɾ ʊ f ə ʂ ʊ ˈ n ɛ l/
proff,/p ɾ ʊ f/
profittere,/p ɾ ʊ f ɪ ˈ t e ː ɾ ə/
program,/p ɾ ʊ ˈ g ɾ ɑ m/
programhefte,/p ɾ ʊ ˈ g ɾ ɑ m h ɛ f t ə/
programmere,/p ɾ ʊ g ɾ ɑ ˈ m e ː ɾ ə/
progressiv,/ˈ p ɾ ʊ g ɾ ə s iː ʋ/
proklamere,/p ɾ ʊ k l ɑ ˈ m e ː ɾ ə/
promille,/p ɾ ʊ m ɪ l ə/
prominent,/p ɾ ʊ m ɪ ˈ n ɛ n t/
promotere,/p ɾ ʊ m ʊ ˈ t e ː ɾ ə/
prompe,/ˈ p ɾ ʊ m p ə/
proporsjonal,/p ɾ ʊ p ʊ ʂ ʊ ˈ n ɑː l/
proppe,/ˈ p ɾ ɔ p ə/
prosaisk,/p ɾ ʊ ˈ s ɑː ɪ s k/
prosent,/p ɾ ʊ ˈ s ɛ n t/
prosesjon,/p ɾ ʊ s ə ˈ ʂ uː n/
prosess,/p ɾ ʊ ˈ s ɛ s/
prosjektere,/p ɾ ʊ ʂ ɛ k ˈ t e ː ɾ ə/
prospektkort,/p ɾ ʊ ˈ s p ɛ k t k ʊ ʈ/
prost,/p ɾ uː s t/
prostituere,/p ɾ ʊ s t ɪ t ʉ ˈ e ː ɾ ə/
protese,/p ɾ ʊ t e ː s ə/
protest,/ˈ p ɾ ʊ t ɛ s t/
protestantisk,/p ɾ ʊ t ə ˈ s t ɑ n t ɪ s k/
protestere,/p ɾ ʊ t ə ˈ s t e ː ɾ ə/
prove,/ˈ p ɾ ø ː ʋ ə/
provisorisk,/p ɾ ʊ ʋ ɪ ˈ s uː ɾ ɪ s k/
provosere,/p ɾ ʊ ʋ ʊ ˈ s e ː ɾ ə/
prute,/ˈ p ɾ ʉ ː t ə/
pryde,/ˈ p ɾ y ː d ə/
pryle,/ˈ p ɾ y ː l ə/
prøve,/ˈ p ɾ ø ː ʋ ə/
pseudonym,"/s ə ʋ d ʊ ˈ n y ː m/, /p s ə ʋ d ʊ ˈ n y ː m/"
psyke,"/ˈ s y ː k ə/, /ˈ p s y ː k ə/"
psykiatrisk,"/s ʏ k ɪ ˈ ɑː t ɾ ɪ s k/, /p s ʏ k ɪ ˈ ɑː t ɾ ɪ s k/"
psykisk,"/ˈ s ʏ k ɪ s k/, /ˈ p s ʏ k ɪ s k/"
publisere,/p ʉ b l ɪ ˈ s e ː ɾ ə/
pudder,/ˈ p ʉ d ə ɾ/
pudre,/ˈ p ʉ d ɾ ə/
pugge,/ˈ p ʉ g ə/
pukkel,/ˈ p ʊ k ə l/
pulk,/p ʉ ɽ k/
puls,/p ʉ l s/
pulsere,/p ʉ l ˈ s e ː ɾ ə/
pult,/p ʉ l t/
pulver,/ˈ p ʉ l ʋ ə ɾ/
pumpe,/ˈ p ʊ m p ə/
punkt,/p ʊ ŋ t/
punktere,"/p ʊ ŋ ˈ t e ː ɾ ə/, /p ʊ ŋ k ˈ t e ː ɾ ə/"
punktert,/p ʊ ŋ t ɛ ʈ/
punktlig,"/ˈ p ʉ ŋ t l ɪ/, /ˈ p ʉ ŋ k t l ɪ/"
punktlige,"/ˈ p ʉ ŋ t l ɪə/, /ˈ p ʉ ŋ k t l ɪə/"
punktligere,"/ˈ p ʉ ŋ t l ɪ ɾ ə/, /ˈ p ʉ ŋ k t l ɪ ɾ ə/"
punktligst,"/ˈ p ʉ ŋ t l ɪ k s t/, /ˈ p ʉ ŋ k t l ɪ k s t/"
punktligste,"/ˈ p ʉ ŋ t l ɪ k s t ə/, /ˈ p ʉ ŋ k t l ɪ k s t ə/"
pupp,/p ʉ p/
purke,/ˈ p ʉ ɾ k ə/
purre,/ˈ p ʉ ɾ ə/
pusle,/ˈ p ʉ ʂ ɭ ə/
pussa,/ˈ p ʉ s ɑ/
pusse,/ˈ p ʉ s ə/
pussig,/ˈ p ʉ s ɪ/
pussige,/ˈ p ʉ s ɪə/
