abbor  aa b ao r
lovlydig  l oo v l ueh d ih
lovlydige  l oo v l ueh d ih ax
lovlydigere  l oo v l ueh d ih r ax
lovlydigst  l oo v l ueh d ih k s t
lovlydigste  l oo v l ueh d ih k s t ax
lovstridig  l oo v s t r iy d ih
lovstridige  l oo v s t r iy d ih ax
lovstridigere  l oo v s t r iy d ih r ax
lovstridigst  l oo v s t r iy d ih k s t
lovstridigste  l oo v s t r iy d ih k s t ax
lubben  l uh b ax n
lue  l uh ax
luft  l uh f t
luft i magen  l uh f t ih m aa g ax n
lufte  l uh f t ax
luftforurensning  l uh f t f ao r uh r eh n s n ih ng
lugar  l uh g aa r
lugge  l uh g ax
luguber  l uh g uh b ax r
luke  l uh k ax
lukke  l uh k ax
lukrativ  l uh k r aa t iy v
luksuriøs  l uh k s uh r ih oeh s
lukt  l uh k t
lukte  l uh k t ax
lummer  l uh m ax r
lummert  l uh m ax t
lumpen  l uh m p ax n
lumsk  l uh m s k
lun  l uh n
Lunde  l uh n d ax
lune  l uh n ax
lunefull  l uh n ax f uh l
lunge  l uh ng ax
lungebetennelse  l uh ng ax b eh t eh n eh l s ax
lunken  l uh ng k ax n
lunsj  l oe n sz
lunte  l uh n t ax
lur  l uh r
lure  l uh r ax
lurvete  l uh r v ax t ax
luse  l uh s ax
lusen  l uh s ax n
luske  l uh s k ax
lut  l uh t
lute  l uh t ax
lutrygga  l uh t r ue g ax t
lutrygget  l uh t r ue g ax t
luxembourgsk  l uh k s ax m b uh r k s k
ly  l ueh
lyd  l ueh d
lyde  l ueh d ax
lydig  l ueh d ih
lydige  l ueh d ih ax
lydigere  l ueh d ih r ax
lydigst  l ueh d ih k s t
lydigste  l ueh d ih k s t ax
lydløs  l ueh d l oeh s
lykke  l ue k ax
lykkelig  l ue k ax l ih
lykkelige  l ue k ax l ih ax
lykkeligere  l ue k ax l ih r ax
lykkeligst  l ue k ax l ih k s t
lykkeligste  l ue k ax l ih k s t ax
lykkes  l ue k ax s
lykkeønskning  l ue k oe n s k n ih ng
lyn  l ueh n
lyne  l ueh n ax
Lyngen  l ue ng n
lynsje  l ue n sz ax
lys  l ueh s
lysbryter  l ueh s b r ueh t ax r
lyse  l ueh s ax
lyseblå  l ueh s ax
lyskaster  l ueh s k aa s t ax r
lyske  l ue s k ax
lyskebrokk  l ue s k ax b r ao k
lysmåler  l ue s m oo l ax r
lyspære  l ueh s p ae r ax
lyssky  l ueh s sz ueh
lyst  l ue s t
lystbetont  l ue s t b ax t uu n t
lysten  l ue s t ax n
lystig  l ue s t ih
lystige  l ue s t ih ax
lystigere  l ue s t ih r ax
lystigst  l ue s t ih k s t
lystigste  l ue s t ih k s t ax
lystre  l ue s t r ax
lytte  l ue t ax
lytter  l ue t ax r
lyve  l ueh v ax
lærd  l ae d
lære  l ae r ax
lærer  l ae r ax r
lærerik  l ae r ax r iy k
lærevillig  l ae r ax v ih l ih
lærevillige  l ae r ax v ih l ih ax
lærevilligere  l ae r ax v ih l ih r ax
lærevilligst  l ae r ax v ih l ih k s t
lærevilligste  l ae r ax v ih l ih k s t ax
løfte  l oe f t ax
løgn  l oe j n
løk  l oeh k
lønn  l oe n
lønne  l oe n ax
lønnsom  l oe n s ao m
løp  l oeh p
løpe  l oeh p ax
løpende  l oeh p n ax
løpsk  l oe p s k
lørdag  l oeh d aa g
lørdager  l oeh d aa g ax r
løs  l oeh s
løse  l oeh s ax
løslate  l oeh s l aa t ax
løsrive  l oeh s r iy v ax
løssluppen  l oeh s sz l uh p ax n
løstenner  l oeh s t h eh n ax r
løye  l oe j ax
løype  l oe j p ax
løyve  l oe j v ax
låg  l oo g
låne  l oo n ax
lår  l oo r
låse  l oo s ax
låt  l oo t
låte  l oo t ax
madrass  m aa d r aa s
mage  m aa g ax
mager  m aa g ax r
magisk  m aa g ih s k
magister  m aa g ih s t ax r
mai  m aa iy
mais  m aa ih s
majestetisk  m aa j ax s t ee t ih s k
majones  m aa j uh n ee s
makaber  m aa k aa b ax r
make  m aa k ax
makelig  m aa k ax l ih
makelige  m aa k ax l ih ax
makeligere  m aa k ax l ih r ax
makeligst  m aa k ax l ih k s t
makeligste  m aa k ax l ih k s t ax
makeløs  m aa k ax l oeh s
maken  m aa k ax n
makrell  m aa k r eh l
maksimal  m aa k s ih m aa l
makt  m aa k t
makte  m aa k t ax
maktesløs  m aa k t ax s l oeh s
maktpåliggende  m aa k t p ao l ih g ax n ax
makulere  m aa k uh l ee r ax
male  m aa l ax
malen  m aa l ax n
malene  m aa l ax n ax
maler  m aa l ax r
maleri  m aa l ax r iy
malm  m aa l m
malplassert  m aa l p l aa s ee t
mamma  m aa m aa
man  m aa n
mandag  m aa n d aa g
mandarin  m aa n d aa r iy n
mandel  m aa n d ax l
mandelbetennelse  m aa n ax l b eh t eh n eh l s ax
mandig  m aa n ih
mandige  m aa n ih ax
mandigere  m aa n ih r ax
mandigst  m aa n ih k s t
mandigste  m aa n ih k s t ax
mane  m aa n ax
manen  m aa n
manene  m aa n ax
mange  m aa ng ax
mangesidig  m aa ng ax s iy d ih
mangesidige  m aa ng ax s iy d ih ax
mangesidigere  m aa ng ax s iy d ih r ax
mangesidigst  m aa ng ax s iy d ih k s t
mangesidigste  m aa ng ax s iy d ih k s t ax
mangfoldig  m aa ng f ao l d ih
mangfoldige  m aa ng f ao l d ih ax
mangfoldigere  m aa ng f ao l d ih r ax
mangfoldigst  m aa ng f ao l d ih k s t
mangfoldigste  m aa ng f ao l d ih k s t ax
mangle  m aa ng l ax
mangslungen  m aa ng sz l uh ng ax n
manifest  m aa n ih f eh s t
manipulere  m aa n ih p uh l ee r ax
mann  m aa n
mannen  m aa n
mannlig  m aa n l ih
mannlige  m aa n l ih ax
mannligere  m aa n l ih r ax
mannligst  m aa n l ih k s t
mannligste  m aa n l ih k s t ax
mannskap  m aa n s k aa p
mannsterk  m aa n s t ae r k
manuell  m aa n uh eh l
manøvrere  m aa n oe v r ee r ax
marg  m aa r g
margarin  m aa r g aa r iy n
Marit  m aa r ih t
maritim  m aa r ih t iy m
mark  m aa r k
markant  m aa r k aa n t
marked  m aa r k eh d
markedsføre  m aa r k ax d s f oeh r ax
markedsføring  m aa r k ax d s f oeh r ih ng
markere  m aa r k ee r ax
markert  m aa r k ee t
marokkansk  m aa r uh k aa n s k
mars  m aa sz
marsjere  m aa sz ee r ax
mas  m aa s
masasje  m aa s aa sz ax
mascara  m aa s k aa r aa
mase  m aa s ax
masete  m aa s ax t ax
maske  m aa s k ax
maskin  m aa sz iy n
maskinell  m aa sz ih n eh l
maskingevær  m aa sz iy ng ax v ae r
maskulin  m aa s k uh l iy n
massakrere  m aa s aa k r ee r ax
masse  m aa s ax
masseprodusere  m aa s ax p r uh d uh s ee r ax
massere  m aa s ee r ax
massiv  m aa s iy v
mat  m aa t
matbit  m aa t b iy t
mate  m aa t ax
matematiker  m aa t ax m aa t ih k ax r
matematisk  m aa t ax m aa t ih s k
materiale  m aa t ax r ih aa l ax
materialistisk  m aa t ax r ih aa l ih s t ih s k
materie  m aa t ee r ih ax
materiell  m aa t ax r ih eh l
matforgiftning  m aa t f ao r j ih f t n ih ng
matt  m aa t
matte  m aa t ax
maule  m aw l ax
maur  m ae w r
med  m ee
meddele  m ee d ee l ax
medfødt  m ee f oe t
medgi  m ee d j iy
medgjørlig  m ax d j oeh l ih
medgjørlige  m ax d j oeh l ih ax
medgjørligere  m ax d j oeh l ih r ax
medgjørligst  m ax d j oeh l ih k s t
medgjørligste  m ax d j oeh l ih k s t ax
medikament  m eh d ih k aa m eh n t
medisin  m ax d ih s iy n
medisinsk  m ax d ih s iy n s k
meditere  m ax d ih t ee r ax
medium  m ee d ih uh m
medlem  m ee d l ax m
medlemskap  m ee d l ax m s k aa p
medskyldig  m ee d sz ue l d ih
medskyldige  m ee d sz ue l d ih ax
medskyldigere  m ee d sz ue l d ih r ax
medskyldigst  m ee d sz ue l d ih k s t
medskyldigste  m ee d sz ue l d ih k s t ax
medvirke  m ee d v ih r k ax
meg  m ae iy
megle  m eh g l ax
megler  m eh g l ax r
megling  m eh g l ih ng
meie  m ay ax
mekanisk  m ax k aa n ih s k
mekre  m eh k r ax
meksikansk  m ax k s ih k aa n s k
mektig  m eh k t ih
mektige  m eh k t ih ax
mektigere  m eh k t ih r ax
mektigst  m eh k t ih k s t
mektigste  m eh k t ih k s t ax
mel  m ee l
melankolsk  m ax l aa n k uu l s k
melding  m eh l ih ng
melert  m ax l ee t
melk  m eh l k
melke  m eh l k ax
mellom  m eh l ao m
mellomlanding  m eh l ao m l aa n ih ng
melon  m eh l uu n
men  m ee n
mene  m ee n ax
mening  m ee n ih ng
menn  m eh n
mennene  m eh n ax n ax
menneske  m eh n ax s k ax
menneskelig  m eh n ax s k ax l ih
menneskelige  m eh n ax s k ax l ih ax
menneskeligere  m eh n ax s k ax l ih r ax
menneskeligst  m eh n ax s k ax l ih k s t
menneskeligste  m eh n ax s k ax l ih k s t ax
mens  m eh n s
menstruasjon  m eh n s t r uh aa sz uu n
mental  m ax n t aa l
meny  m eh n ueh
mer  m ee r
mer enn  m ee r eh n
merkantil  m ae r k aa n t iy l
merkbar  m ae r k b aa r
merke  m ae r k ax
merkelig  m ae r k ax l ih
merkelige  m ae r k ax l ih ax
merkeligere  m ae r k ax l ih r ax
merkeligst  m ae r k ax l ih k s t
merkeligste  m ae r k ax l ih k s t ax
merkverdig  m ae r k v ae d ih
merkverdige  m ae r k v ae d ih ax
merkverdigere  m ae r k v ae d ih r ax
merkverdigst  m ae r k v ae d ih k s t
merkverdigste  m ae r k v ae d ih k s t ax
merr  m ae r
mesén  m eh s ee n
mesenat  m eh s n n aa t
messe  m eh s ax
mester  m eh s t ax r
mestre  m eh s t r ax
metafysisk  m ax t aa f ueh s ih s k
meteorolog  m ax t ax uh r uh l oo g
meteorologisk  m ax t ax uh r uh l oo g ih s k
meter  m ee t ax r
mett  m eh t
midd  m ih d
middag  m ih d aa g
middel  m ih d ax l
middelalder  m ih d ax l aa l d ax r
middelaldrende  m ih d ax l aa l d r ax n ax
middelmådig  m ih d ax l m oo d ih
middelmådige  m ih d ax l m oo d ih ax
middelmådigere  m ih d ax l m oo d ih r ax
middelmådigst  m ih d ax l m oo d ih k s t
middelmådigste  m ih d ax l m oo d ih k s t ax
middels  m ih d ax l s
midje  m ih d j ax
midlertidig  m ih d l ax t iy d ih
midlertidige  m ih d l ax t iy d ih ax
midlertidigere  m ih d l ax t iy d ih r ax
midlertidigst  m ih d l ax t iy d ih k s t
midlertidigste  m ih d l ax t iy d ih k s t ax
midnatt  m ih d n aa t
midte  m ih t ax
migrene  m ih g r ee n ax
mikroskopisk  m ih k r uh s k uu p ih s k
mikse  m ih k s ax
mild  m ih l
miljø  m ih l j oeh
miljøvennlig  m ih l j oeh v eh n l ih
miljøvennlige  m ih l j oeh v eh n l ih ax
miljøvennligere  m ih l j oeh v eh n l ih r ax
miljøvennligst  m ih l j oeh v eh n l ih k s t
miljøvennligste  m ih l j oeh v eh n l ih k s t ax
millimeter  m ih l ih m ee t ax r
mime  m iy m ax
min  m ih n
mindreverdig  m ih n d r ax v ae d ih
mindreverdige  m ih n d r ax v ae d ih ax
mindreverdigere  m ih n d r ax v ae d ih r ax
mindreverdigst  m ih n d r ax v ae d ih k s t
mindreverdigste  m ih n d r ax v ae d ih k s t ax
mindreårig  m ih n d r ax oo r ih
mindreårige  m ih n d r ax oo r ih ax
mindreårigere  m ih n d r ax oo r ih r ax
mindreårigst  m ih n d r ax oo r ih k s t
mindreårigste  m ih n d r ax oo r ih k s t ax
mine  m iy n ax
mineralvann  m ih n ax r aa l v aa n
minibank  p eh ng ax aw t uh m aa t
minibar  m ih n ih b aa r
minigolf  m iy n ih g ao l f
minimal  m ih n ih m aa l
minister  m ih n ih s t ax r
minke  m ih ng k ax
minne  m ih n ax
minne en om noe  m ih n ax ee n uh m n uu ax
minnes  m ih n ax s
minnesmerke  m ih n eh s m ae r k ax
minnested  m ih n ax s t ee d
minneverdig  m ih n ax v ae d ih
minneverdige  m ih n ax v ae d ih ax
minneverdigere  m ih n ax v ae d ih r ax
minneverdigst  m ih n ax v ae d ih k s t
minneverdigste  m ih n ax v ae d ih k s t ax
minske  m ih n s k ax
minst  m ih n s t
minutt  m ih n uh t
mirakuløs  m ih r aa k uh l oeh s
misbruke  m ih s b r uh k ax
misfornøyd  m ih s f ao ng oe j d
misforstå  m ih s f ao sz t oo
mishandle  m ih s h aa n l ax
mislike  m ih s l iy k ax
mislykka  m ih s l ue k aa
mislykkes  m ih s l ue k ax s
mislykket  m ih s l ue k ax t
miste  m ih s t ax
mistenke  m ih s t eh ng k ax
mistenksom  m ih s t eh ng k s ao m
mistrives  m ih s t r iy v ax s
misunne  m ih s uh n ax
misunnelig  m ih s uh n ax l ih
misunnelige  m ih s uh n ax l ih ax
misunneligere  m ih s uh n ax l ih r ax
misunneligst  m ih s uh n ax l ih k s t
misunneligste  m ih s uh n ax l ih k s t ax
misunnelse  m ih s uh n ax l s ax
mit  m ih t
mitt  m ih t
mjaue  m j ae w ax
mjød  m j oeh d
mjøl  m j ae rx
mjølk  m j ae rx k
mo  m uu
mobbe  m ao b ax
mobil  m uu b iy l
mobilisere  m uh b ih l ih s ee r ax
modell  m uh d eh l
modellere  m uh d ax l ee r ax
moden  m uu d ax n
moderat  m uh d ax r aa t
moderere  m uh d ax r ee r ax
modern  m ao d eh ng
moderne  m uh d ae ng ax
modernisere  m uh d ae ng ih s ee r ax
modifisere  m uh d ih f ih s ee r ax
modig  m uu d ih
modige  m uu d ih ax
modigere  m uu d ih r ax
modigst  m uu d ih k s t
modigste  m uu d ih k s t ax
modne  m uu d n ax
molefonken  m uh l ax f uh ng k ax n
molo  m uu l u
momentan  m uh m ax n t aa n
moms  m uh m s
monne  m ao n ax
montere  m ao n t ee r ax
mor  m uu r
mor'n  m ao ng
moralisere  m uh r aa l ih s ee r ax
moralsk  m uh r aa l s k
mord  m uh d
morder  m uh d ax r
more  m uu r ax
more seg  m uu r ax s ae iy
morgen  m oo ao ng
morken  m ao r k ax n
moro  m uh r u
morsk  m uh sz k
morsom  m uh sz ao m
mose  m uu s ax
mosjonere  m uh sz uh n ee r ax
mot  m uu t
motarbeide  m uu t aa r b ay d ax
motbevise  m uu t b ax v iy s ax
motbydelig  m uh t b ueh d ax l ih
motbydelige  m uh t b ueh d ax l ih ax
motbydeligere  m uh t b ueh d ax l ih r ax
motbydeligst  m uh t b ueh d ax l ih k s t
motbydeligste  m uh t b ueh d ax l ih k s t ax
mote  m uu t ax
motell  m uh t eh l
moteriktig  m uu t ax r ih k t ih
moteriktige  m uu t ax r ih k t ih ax
moteriktigere  m uu t ax r ih k t ih r ax
moteriktigst  m uu t ax r ih k t ih k s t
moteriktigste  m uu t ax r ih k t ih k s t ax
motesmykke  m uu t ax s m ue k ax
motivere  m uh t ih v ee r ax
motløs  m uu t l oeh s
motor  m uh t uu r
motoren  m uh t uu uh ng
motorsykkel  m uu t uh sz ue k ax l
motorvei  m uu t uh r v ae iy
motorvei klasse B  m uu t uh r v ay k l aa s ax b ee
motsatt  m uu t s aa t
motsetning  m uh t s eh t n ih ng
motsette  m uu t s eh t ax
motsi  m uu t s iy
motstand  m uu t s t aa n
motstandsdyktig  m uu t s t aa n s d ue k t ih
motstandsdyktige  m uu t s t aa n s d ue k t ih ax
motstandsdyktigere  m uu t s t aa n s d ue k t ih r ax
motstandsdyktigst  m uu t s t aa n s d ue k t ih k s t
motstandsdyktigste  m uu t s t aa n s d ue k t ih k s t ax
motstå  m uu t s t oo
motta  m uu t aa
mottagelig  m uu t aa k ax l iy
mottaker  m uu t aa k ax r
motvillig  m uu t v ih l ih
motvillige  m uu t v ih l ih ax
motvilligere  m uu t v ih l ih r ax
motvilligst  m uu t v ih l ih k s t
motvilligste  m uu t v ih l ih k s t ax
mugge  m uh g ax
muggen  m uh g ax n
mule  m uh l ax
mulig  m uh l ih
mulige  m uh l ih ax
muligere  m uh l ih r ax
muliggjøre  m uh l ih j oeh r ax
mulighet  m uh l ih hh ee t
muligst  m uh l ih k s t
muligste  m uh l ih k s t ax
mulkt  m uh l k t
multiplisere  m uh l t ih p l ih s ee r ax
mumle  m uh m l ax
munn  m uh n
munne  m uh n ax
munning  m uh n ih ng
munter  m uh n t ax r
muntlig  m uh n t l ih
muntlige  m uh n t l ih ax
muntligere  m uh n t l ih r ax
muntligst  m uh n t l ih k s t
muntligste  m uh n t l ih k s t ax
murre  m uh r ax
museum  m uh s ee uh m
musical  m j uh s ih k ax l
musikalsk  m uh s ih k aa l s k
musiker  m uh s ih k ax r
musikk  m uh s ih k
musikkforretning  m uh s ih k f ao r ax t n ih ng
muskel  m uh s k ax l
muskulær  m uh s k uh l ae r
muskuløs  m uh s k uh l oeh s
musli  m uh s l iy
muslimsk  m uh k f iy m s k
musling  m uh sz l ih ng
mye  m ueh ax
mygg  m ue g
myk  m ueh k
myke  m ueh k ax
mykost  m ueh k uh s t
myldre  m ue l d r ax
myndig  m ue n ih
myndige  m ue n ih ax
myndigere  m ue n ih r ax
myndighet  m ue n ih hh ee t
myndigst  m ue n ih k s t
myndigste  m ue n ih k s t ax
mynt  m ue n t
mynte  m ue n t ax
myntvaskeri  m ue n t v aa s k ax r iy
myr  m ueh r
myrde  m ue d ax
myse  m ueh s ax
mystisk  m ue s t ih s k
myte  m ueh t ax
mytologisk  m ue t uh l oo g ih s k
møbel  m oeh b ax l
møblere  m oe b l ee r ax
møkk  m oe k
møkkete  m oe k ax t ax
møne  m oeh n ax
mønje  m oe n j ax
mønster  m oe n s t ax r
mør  m oeh r
mørk  m oe r k
mørke  m oe r k ax
mørkeblå  m oe r k ax
mørklegge  m oe r k l ay ax
mørk t brød  m oe r k t b r oeh
møte  m oeh t ax
møtt  m oe t
møysommelig  m oe j s ao m ax l ih
møysommelige  m oe j s ao m ax l ih ax
møysommeligere  m oe j s ao m ax l ih r ax
møysommeligst  m oe j s ao m ax l ih k s t
møysommeligste  m oe j s ao m ax l ih k s t ax
måke  m oo k ax
mål  m oo l
målbevisst  m oo l b ax v ih s t
måle  m oo l ax
målene  m oo l ax n ax
målet  m oo l ax
målmann  m oo l m aa n
målrettet  m oo l r eh t ax t
måltid  m oo l t iy d
måne  m oo n ax
måned  m oo n ax d
månedlig  m oo n ax d l ih
månedlige  m oo n ax d l ih ax
månedligere  m oo n ax d l ih r ax
månedligst  m oo n ax d l ih k s t
månedligste  m oo n ax d l ih k s t ax
måpe  m oo p ax
måse  m oo s ax
måte  m oo t ax
måteholden  m oo t ax hh ao l ax n
måtte  m ao t ax
nabo  n aa b u
nagle  n aa g l ax
naiv  n aa iy v
naken  n aa k ax n
nakent  n aa k ax n t
nakke  n aa k ax
nakne  n aa k n ax
naknere  n aa k n ax r ax
naknest  n aa k n ax s t
nappe  n aa p ax
narkoman  n aa r k uh m aa n
narkose  n aa r k uu s ax
narr  n aa r
narre  n aa r ax
narren  n aa ng
nasjonal  n aa sz uh n aa l
nasjonalitet  n aa sz uh n aa l ih t ee t
nasjonalitetstegn  n aa sz uh n aa l ih t ee t s t ay n
nasjonalpark  n aa sz uh n aa l p aa r k
naske  n aa s k ax
natt  n aa t
nattbord  n aa t b uu r
nattklubb  n aa t k l uh b
natur  n aa t uh r
naturkostbutikk  n aa t uh r k ao s t b uh t ih k
naturlig  n aa t uh l ih
naturlige  n aa t uh l ih ax
naturligere  n aa t uh l ih r ax
naturligst  n aa t uh l ih k s t
naturligste  n aa t uh l ih k s t ax
naturligvis  n aa t uh l ih v iy s
naturvitenskap  n aa t uh r v iy t ax n s k aa p
naust  n ae w s t
naut  n ae w t
nautisk  n aw t ih s k
navigere  n aa v ih g ee r ax
navle  n aa v l ax
navlebeskuende  n aa v l ax b ax s k uh ax n ax
navn  n aa v ax n
navngi  n aa v n j iy
nazistisk  n aa s ih s t ih s k
ned  n ee d
nedbrutt  n ee d b r uh t
nede  n ee d ax
nedenfor  n ee d ax n f ao r
nederlandsk  n ee d ax l aa n s k
nedlate  n ee d l aa t ax
nedlatende  n ee d l aa t ax n ax
nedsette  n ee d s eh t ax
nedsettende  n ee d s eh t ax n ax
nedslående  n ee d sz l oo ax n ax
nedstemme  n ee d s t eh m ax
nedstemt  n ee d s t eh m t
nedtrykt  n ee d t r ue k t
nedverdige  n ee d v ae d ih g ax
negativ  n ee g aa t ih v
neglisjere  n ax g l ih sz ee r ax
nei  n ay
neie  n ay ax
nekte  n eh k t ax
nemnd  n eh m d
neppe  n eh p ax
nerve  n ae r v ax
nervepirrende  n ae r v ax p ih r ax n ax
nervøs  n ae r v oeh s
nese  n ee s ax
nesebor  n ee s ax b uu r
nesevis  n ee s ax v iy s
neshorn  n ee s h uu ng
neste  n eh s t ax
neste år  n eh s t ax oo r
nesten  n eh s t ax n
nestsiste  n eh s t s ih s t ax
nett  n eh t
nettopp  n eh t ao p
nettside  n eh t s iy d ax
nevenyttig  n ee v ax n ue t ih
nevenyttige  n ee v ax n ue t ih ax
nevenyttigere  n ee v ax n ue t ih r ax
nevenyttigst  n ee v ax n ue t ih k s t
nevenyttigste  n ee v ax n ue t ih k s t ax
nevne  n eh v n ax
ni  n iy
nifs  n ih f s
nikke  n ih k ax
nippe  n ih p ax
nisse  n ih s ax
nitten  n ih t ax n
nitti  n ih t iy
nivå  n ih v oo
noe  n uu ax
noen  n uu ax n
nok  n ao k
nominere  n uh m ih n ee r ax
nordisk  n uh d ih s k
nordlig  n uu l ih
nordmann  n uu r m aa n
Noreg  n oo r ee g
normal  n uh r m aa l
normalisere  n uh r m aa l ih s ee r ax
normalt  n uh r m aa l t
normere  n ao r m ee r ax
norrøn  n uh r oe n
norsk  n ao sz k
nostalgisk  n uh s t aa l g ih s k
notere  n uh t ee r ax
notorisk  n uh t uu r ih s k
november  n uh v eh m b ax r
nudiststrand  n uh d ih s t s t r aa n
null  n uh l
nulle  n uh l ax
nummer  n uh m ax r
nummerere  n uh m ax r ee r ax
nummerskilt  n uh m ax sz ih l t
ny  n ueh
nyansere  n ue aa ng s ee r ax
nybakt  n ueh b aa k t
nydelig  n ueh d ax l ih
nydelige  n ueh d ax l ih ax
nydeligere  n ueh d ax l ih r ax
nydeligst  n ueh d ax l ih k s t
nydeligste  n ueh d ax l ih k s t ax
nye  n ueh ax
nyhet  n ueh hh ee t
nylig  n ueh l ih
nylige  n ueh l ih ax
nyligere  n ueh l ih r ax
nyligst  n ueh l ih k s t
nyligste  n ueh l ih k s t ax
nynne  n ue n ax
nynorsk  n ueh n ao sz k
nype  n ueh p ax
nyre  n ueh r ax
nyrebelte  n ueh r ax b eh l t ax
nyrebetennelse  n ueh r ax b eh t eh n eh l s ax
nyrestein  n ueh r ax s t ay n
nyse  n ueh s ax
nysgjerrig  n ue sz ae r ih
nysgjerrige  n ue sz ae r ih ax
nysgjerrigere  n ue sz ae r ih r ax
nysgjerrigst  n ue sz ae r ih k s t
nysgjerrigste  n ue sz ae r ih k s t ax
nyss  n ue s
nyte  n ueh t ax
nytte  n ue t ax
nyttig  n ue t ih
nyttige  n ue t ih ax
nyttigere  n ue t ih r ax
nyttigst  n ue t ih k s t
nyttigste  n ue t ih k s t ax
nyttår  n ue t oo r
nær  n ae r
nærgående  n ae r g oo ax n ax
nærhet  n ae r hh ee t
næring  n ae r ih ng
næringsrik  n ae r ih ng s r iy k
nærliggende  n ae l ih g ax n ax
nærme  n ae r m ax
nærsynt  n ae sz ueh n t
nærtagende  n ae t aa g ax n ax
nødsfall  n oeh d s f aa l
nødt  n oe t
nødvendig  n oe d v eh n ih
nødvendige  n oe d v eh n ih ax
nødvendigere  n oe d v eh n ih r ax
nødvendigst  n oe d v eh n ih k s t
nødvendigste  n oe d v eh n ih k s t ax
nøkkel  n oe k ax l
nøklene  n oe k l ax n ax
nøktern  n oe k t ae ng
nøle  n oeh l ax
nøste  n oe s t ax
nøtt  n oe t
nøyaktig  n oe j aa k t ih
nøyaktige  n oe j aa k t ih ax
nøyaktigere  n oe j aa k t ih r ax
nøyaktigst  n oe j aa k t ih k s t
nøyaktigste  n oe j aa k t ih k s t ax
nøye  n oe j ax
nøytral  n oe j t r aa l
nå  n oo
nåde  n oo d ax
nådeløs  n oo d ax l oeh s
nål  n oo l
når  n ao r
nåværende  n oo v ae r ax n ax
obdusere  uh b d uh s ee r ax
objektiv  uh b j eh k t iy v
obligatorisk  uh b l ih g aa t uu r ih s k
observant  ao p s ae r v aa ng
observere  ao p s ae r v ee r ax
obskur  ao p s k uh r
obskøn  ao p s k oeh n
odde  ao d ax
offensiv  ao f aa ng s iy v
offentlig  ao f eh n t l ih
offentlige  ao f ax n t l ih ax
offentligere  ao f ax n t l ih r ax
offentliggjøre  ao f ax n t l ih j oeh r ax
offentlighet  ao f ax n t l ih hh ee t
offentligst  ao f ax n t l ih k s t
offentligste  ao f ax n t l ih k s t ax
offer  ao f ax r
offisielt  ao f iy s ih ax l t
offside  ao f s aa ih d
ofre  ao f r ax
oft  ao f t
ofte  ao f t ax
og  oo
også  ao s ao
ohne  oo n ax
okkupere  ao k uh p ee r ax
oktober  ao k t oo b ax r
Olaf  uu l aa f
oliven  uh l iy v ax n
olje  ao l j ax
oljemaleri  ao l j ax m aa l ax r iy
olympisk  uh l ue m p ih s k
om  ao m
om dagen  ao m d aa g ax n
om ei uke  ao m ay uh k ax
om formiddagen  ao m f ao r m ih d aa g ax n
om kvelden  ao m k v eh l ax n
om morgenen  ao m m oo ng ax n
ombestemme  ao m b ax s t eh m ax
ombestille  ao m b eh s t ih l ax
omfang  ao m f aa ng
omfangsrik  ao m f aa ng s r iy k
omfatte  ao m f aa t ax
omfattende  ao m f aa t ax n ax
omfavne  ao m f aa v n ax
omgi  ao m j iy
omgivelser  ao m j iy v eh l s ax r
omgjengelig  ao m j eh ng ax l ih
omgjengelige  ao m j eh ng ax l ih ax
omgjengeligere  ao m j eh ng ax l ih r ax
omgjengeligst  ao m j eh ng ax l ih k s t
omgjengeligste  ao m j eh ng ax l ih k s t ax
omgå  ao m g oo
omgående  ao m g oo ax n ax
omhyggelig  ao m h ue g ax l ih
omhyggelige  ao m h ue g ax l ih ax
omhyggeligere  ao m h ue g ax l ih r ax
omhyggeligst  ao m h ue g ax l ih k s t
omhyggeligste  ao m h ue g ax l ih k s t ax
omkomme  ao m k ao m ax
omkostninger  ao m k ao s t n ih ng ax r
omkring  ao m k r ih ng
omringe  ao m r ih ng ax
område  ao m r oo d ax
omsette  ao m s eh t ax
omstendelig  ao m s t eh n ax l ih
omstendelige  ao m s t eh n ax l ih ax
omstendeligere  ao m s t eh n ax l ih r ax
omstendeligst  ao m s t eh n ax l ih k s t
omstendeligste  ao m s t eh n ax l ih k s t ax
omstendighet  ao m s t eh n ih hh ee t
omstridt  ao m s t r ih t
omtale  ao m t aa l ax
omtenksom  ao m t eh ng k s ao m
omtrent  ao m t r eh n t
omveg  ao m v ae iy
omvei  ao m v ae iy
omvende  ao m v eh n ax
omvendt  ao m v ax n t
omverden  uh m v ae d ax n
omvisning  ao m v iy s n ih ng
onanere  uh n aa n ee r ax
ond  uh n
ondskapsfull  uh n s k aa p s f uh l
onkel  uh ng k ax l
onsdag  uh n s d aa g
opera  uu p ax r aa
operasjon  uh p ax r aa sz uu n
operativ  ao p ax r aa t iy v
operere  ao p ax r ee r ax
operette  uh p ax r eh t ax
opp  ao p
oppbevare  ao p b eh v aa r ax
oppbyggelig  ao p b ue g ax l ih
oppbyggelige  ao p b ue g ax l ih ax
oppbyggeligere  ao p b ue g ax l ih r ax
oppbyggeligst  ao p b ue g ax l ih k s t
oppbyggeligste  ao p b ue g ax l ih k s t ax
oppdage  ao p d aa g ax
oppdatere  ao p d aa t ee r ax
oppdikta  ao p d ih k t ax t
